"x"
1.25e+09
2.987e+10
1.946e+10
700520000
803320000
178950000
310760000
788410000
1.093e+10
2.54e+09
3.472e+10
8.07e+09
127740000
5.15e+09
1.098e+10
5.285e+10
124370000
125130000
1.952e+10
1.582e+10
5.39e+09
681440000
2.018e+10
1.84e+09
2.043e+10
1.101e+10
5.69e+09
2.02e+09
6.028e+10
2.27e+09
5.415e+10
9.78e+09
103780000
510990000
6.52e+09
53420000
2.94e+09
3.09e+09
1.235e+10
2.44e+09
4.63e+09
3.01e+09
6.81e+09
2.84e+09
4.636e+10
44910000
308360000
188710000
1.306e+10
525190000
791750000
2.47e+09
1.2985e+11
5.844e+10
48590000
223510000
3.004e+10
1.15e+09
2.72e+09
6.22e+09
969670000
1.74e+09
519360000
88030000
269780000
2.39e+09
3.52e+09
400030000
2.27e+09
1.3267e+11
4.11e+09
1.09e+09
66210000
4.18e+09
309400000
3.22e+09
5.03e+09
301980000
2.07e+08
1.6e+09
94100000
509210000
64180000
2.95e+09
302130000
153960000
64080000
3.76e+09
3.51e+09
99540000
38320000
2e+09
115170000
75020000
